"Step","yolo_tomo_v1 - metrics/recall","yolo_tomo_v1 - metrics/recall__MIN","yolo_tomo_v1 - metrics/recall__MAX","yDICOM4 - metrics/recall","yDICOM4 - metrics/recall__MIN","yDICOM4 - metrics/recall__MAX","yDICOM3 - metrics/recall","yDICOM3 - metrics/recall__MIN","yDICOM3 - metrics/recall__MAX"
"175","0.6664805528799239","0.6664805528799239","0.6664805528799239","0.6606673071461804","0.6606673071461804","0.6606673071461804","0.7030431852811959","0.7030431852811959","0.7030431852811959"
"176","0.7377825252545611","0.7377825252545611","0.7377825252545611","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.7498241981186713","0.7498241981186713","0.7498241981186713"
"177","0.7499127549449611","0.7499127549449611","0.7499127549449611","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.666409317118537","0.666409317118537","0.666409317118537"
"178","0.7495350647805428","0.7495350647805428","0.7495350647805428","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.9140948708849944","0.9140948708849944","0.9140948708849944"
"179","0.7494343570374499","0.7494343570374499","0.7494343570374499","0.5832772256383367","0.5832772256383367","0.5832772256383367","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"180","0.8332872176300011","0.8332872176300011","0.8332872176300011","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"181","0.7497363065544884","0.7497363065544884","0.7497363065544884","0.9163957518124185","0.9163957518124185","0.9163957518124185","0.8004245610031447","0.8004245610031447","0.8004245610031447"
"182","0.75","0.75","0.75","0.9145436516328536","0.9145436516328536","0.9145436516328536","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"183","0.7991990561750185","0.7991990561750185","0.7991990561750185","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.6665324019671846","0.6665324019671846","0.6665324019671846"
"184","0.8014828090585666","0.8014828090585666","0.8014828090585666","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.7495027579662996","0.7495027579662996","0.7495027579662996"
"185","0.8327755091666491","0.8327755091666491","0.8327755091666491","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.75","0.75","0.75"
"186","0.8231285347474117","0.8231285347474117","0.8231285347474117","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.7490815177784016","0.7490815177784016","0.7490815177784016"
"187","0.8284595052568908","0.8284595052568908","0.8284595052568908","0.7482686045904436","0.7482686045904436","0.7482686045904436","0.7497147147147147","0.7497147147147147","0.7497147147147147"
